id,created_at,name,display_name,elo,country,inactive,top_ten_played,picture,banned
38,2025-06-06 23:41:48.713000,Jonathan Moon,jmoon,1724,US,False,8,https://smash-leaderboard-production.up.railway.app/images/dps/jmoon.png,False
5176,2025-09-24 04:57:57.982000,,pickle,1200,CA,True,0,,False
4053,2025-09-13 01:23:56.289000,Caius,c,1200,US,True,2,,False
670,2025-07-20 04:46:50.543000,waw,waw,1200,US,True,0,,False
717,2025-07-21 03:13:13.827000,Aqsa Choudry,duck,1200,US,True,0,,False
11448,2026-04-21 01:15:02.339000,,boknows,1200,,False,1,,False
93,2025-06-11 01:18:34.798000,Stavan Patel,stav,1150,US,False,4,https://smash-leaderboard-production.up.railway.app/images/dps/stav.png,False
22,2025-06-06 08:21:51.757000,Subhash Ramesh,subby,1197,US,False,9,https://smash-leaderboard-production.up.railway.app/images/dps/subby.png,False
3456,2025-09-02 00:21:03.685000,Dhruv Sengupta,dhruvus,1200,GB,True,0,,False
4255,2025-09-14 05:15:35.376000,Joseph Guo,joguo,1200,AU,True,2,,False
375,2025-07-08 04:20:06.817000,Jenny SAM,jeni,1200,US,True,0,,False
376,2025-07-08 04:20:06.969000,Audrey SAM,audrey,1200,US,True,0,,False
2517,2025-08-20 02:14:11.348000,Fela,fela,1200,NG,True,1,,False
8686,2025-12-12 20:47:31.716000,,tcvora,1200,,True,0,,False
682,2025-07-20 20:02:23.014000,Farzan Majeed,farza,1200,US,True,1,,False
4831,2025-09-20 21:55:50.988000,,aha,1200,,True,0,,False
50,2025-06-07 00:27:31.251000,Patrick Pascual,pat,1176,PH,True,7,https://smash-leaderboard-production.up.railway.app/images/dps/pat.png,False
4639,2025-09-20 00:38:24.370000,Amarjot Singh,amar,1517,US,True,5,https://smash-leaderboard-production.up.railway.app/images/dps/amar.jpg,False
